시도별/년월,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01
청원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,28,49,47,56,68,58,57,57,62,42,24,14,32,39,52,57,88,63,75,66,70,50,33,35,34,37,54,68,84
단양,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,43,53,64,61,57,62,59,45,33,19,25,42,56,56,81,61,76,57,65,44,30,35,36,45,52,59,65
천안,49,43,57,48,54,51,31,32,29,47,77,61,38,64,68,54,69,48,25,24,30,47,45,43,56,49,53,54,63,43,26,23,34,40,50,46,67,54,62,58,65,43,29,31,31,31,42,50,60
당진,44,38,54,45,50,43,30,29,32,44,55,55,37,64,60,55,76,44,30,32,35,52,42,35,52,46,44,48,61,39,27,24,35,34,38,37,53,42,46,52,54,39,31,34,32,35,41,45,53
서산,40,38,56,47,51,44,27,27,19,30,60,49,30,54,55,51,72,33,25,24,31,39,34,31,42,37,40,43,52,34,22,23,33,31,36,28,42,36,43,44,47,35,30,32,28,28,34,37,41
아산,46,41,61,49,55,45,28,31,57,90,112,50,31,59,66,52,67,42,23,24,29,47,40,44,52,71,88,69,60,39,25,20,29,36,40,34,50,41,52,49,55,41,32,37,34,39,41,46,55
전주,47,42,53,46,61,58,37,36,35,52,74,61,49,78,59,56,71,55,32,30,32,42,43,46,64,56,58,55,69,42,29,24,39,44,54,51,78,67,80,69,71,60,35,35,41,42,50,63,77
군산,62,51,69,56,65,66,30, ,32,42,76,62,44,72,67,67,91,51,32,32,36,50,49,48,65,56,57,58,70,42,28,27,39,37,44,37,61,45,54,52,50,37,29,29,31,32,43,46,60
익산,56,49,60,56,70,66,47,43,41,53,73,57,41,68,68,66,74,63,35,30,38,58,56,52,65,54,57,61,76,45,29,27,45,54,59,53,81,62,69,63,66,55,35,30,39,44,52,52,61
남원,54,46,69,49,68,49,35,34,30,44,72,59,44,75,63,61,79,62,43,39,34,50,47,51,54,58,57,51,49,,,20,31,39,47,38,61,50,65,49,59,46,34,38,35,36,44,52,64
정읍,56,49,70,55,71,59,28,30,33,72,73,55,38,75,62,60,71,57,34,34,40,57,57,49,69,55,58,54,68,50,28,24,43,47,54,45,63,50,64,59,64,55,33,35,48,48,50,58,71
고창,0,0,0,0,0,0,0,0,0,37,61,44,31,52,46,43,50,35,18,18,20,39,43,44,67,55,59,52,62,41,24,22,34,37,50,44,72,56,67,57,64,47,34,34,39,39,45,53,62
여수,47,40,61,41,53,35,27,30,30,37,61,51,37,55,45,45,69,38,30,30,29,37,35,35,43,40,42,40,48,30,26,23,27,33,37,25,43,33,48,36,46,28,27,29,26,28,33,36,51
광양,47,42,63,41,50,39,32,37,31,37,61,55,39,65,52,54,72,54,44,37,32,36,35,35,42,38,43,43,52,38,35,29,32,36,42,29,49,41,61,45,61,42,42,44,34,32,38,44,57
순천,43,36,56,36,49,34,24,25,24,31,51,41,25,47,40,40,60,38,29,29,30,38,34,31,40,37,39,39,47,33,26,24,29,35,40,27,49,38,54,40,53,35,32,32,28,28,31,33,47
목포,44,38,46,36,53,47,29,22,28,31,52,44,30,50,42,44,58,32,31,21,19,30,38,31,49,38,48,32,39,27,21,21,41,38,43,37,56,31,46,38,45,35,36,33,27,28,35,38,47
영암,48,43,50,37,49,38,,37,33,42,70,55,33,64,52,56,70,49,38,36,35,41,41,40,57,45,52,38,50,31,27,28,32,37,39,29,51,37,51,45,50,36,37,30,28,30,37,41,50
포항,53,51,66,55,63,53,37,40,36,38,63,60,45,63,70,59,72,53,39,32,38,47,51,50,55,49,51,56,55,41,39,32,33,43,48,37,58,48,63,50,58,44,40,41,34,38,45,47,57
구미,44,41,57,42,54,38,30,26,24,34,59,53,35,63,58,51,68,40,23,23,26,39,42,42,55,56,53,55,52,38,36,26,37,51,58,52,79,61,77,60,71,52,41,44,40,42,54,62,72
김천,51,43,61,43,52,46,34,36,33,43,74,71,42,81,67,61,78,55,42,37,34,44,53,45,59,58,55,55,57,48,43,34,38,45,51,44,67,58,69,56,65,59,50,55,45,42,49,54,68
경주,45,43,58,45,50,51,45,45,35,37,64,52,36,60,59,50,69,58,36,37,34,41,46,40,47,45,45,51,53,43,51,44,30,39,42,35,54,43,57,42,55,54,39,43,32,33,38,44,55
안동,54,47,59,38,41,29,18,19,28,35,70,66,52,75,69,54,63,37,24,19,22,37,40,46,58,48,48,50,40,27,23,15,20,30,44,35,62,48,62,42,53,34,34,36,30,32,41,60,75
영주,60,56,67,50,50,36,28,28,23,39,69,64,45,71,55,47,51,53,43,36,33,50,50,55,74,63,61,69,55,38,37,27,33,43,57,56,75,54,71,55,60,43,39,30,24,34,56,73,78
경산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,31,29,21,21,31,40,39,58,47,55,38,46,40,27,35,25,29,43,54,68
창원,44,40,62,46,54,44,34,31,30,41,64,61,39,63,57,53,70,45,32,30,31,44,48,44,48,47,49,51,54,35,33,25,33,44,48,41,63,49,65,49,61,45,34,43,34,41,49,53,67
마산,47,46,61,47,56,45,42,42,,46,57,56,38,62,55,58,78,54,39,37,34,43,45,39,41,37,48,53,58,42,40,32,32,39,41,36,57,45,57,44,57,44,40,46,36,38,39,38,56
진주,50,43,63,47,52,38,35,39,27,38,60,58,37,61,54,55,78,53,33,32,30,40,41,43,48,46,50,50,54,39,36,28,32,41,48,38,63,47,65,49,60,46,36,44,35,37,46,54,70
진해,46,44,66,49,58,53,47,49,36,35,69,62,40,69,66,58,78,52,,,30,40,42,41,46,45,48,48,49,34,32,25,29,36,,,56,47,69,52,62,47,41,46,39,43,48,50,67
하동,51,47,70,58,68,57,43,42,31,38,53,51,34,59,52,53,66,47,28,26,28,35,33,33,42,39,49,50,54,40,35,30,32,38,44,30,50,43,65,49,58,44,36,43,36,38,40,46,61
김해,44,45,54,38,42,40,33,33,32,36,54,52,38,54,50,49,66,55,42,35,35,43,43,44,47,48,45,46,48,37,40,29,33,43,49,40,57,47,59,43,55,41,35,42,30,35,44,50,60
양산,36,33,53,36,43,34,27,28,26,35,53,51,34,49,46,43,61,42,28,27,29,41,41,41,43,43,46,51,56,44,39,36,35,40,44,48,68,53,66,49,62,49,44,51,40,43,51,58,68
거제,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,37,36,44,45,49,51,51,35,29,30,34,42,48,37,60,50,57,38,48,46,35,42,32,35,38,40,53
사천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,41,56,39,54,33,29,35,27,29,35,46,58
제주,53,43,71,49,61,39,31,29,29,48,91,52,29,52,48,50,76,43,28,29,26,40,36,36,47,39,45,41,51,23,21,19,31,37,44,26,44,37,56,46,58,36,30,31,34,39,50,45,56
서귀포,56,38,70,43,52,34,30,27,28,38,77,55,38,58,52,53,88,35,28,26,34,44,37,36,46,36,41,39,44,16,18,19,26,32,33,22,38,28,49,34,45,26,25,34,31,35,49,44,56

